index ,smarts,smiles,ionization_center_id,acid_or_base,,
90,[C:0]=[NX2:1]-[OX2:2],*ON=C,1,B,,
91,[PX4:0](=[OX1:1])(-[NH2:2])(-[NH 1:3]),*P(N)(N)=O,"2,3",B,,
92,[c:0]:[nX2H0:1]:[nX2H0:2]:[cX3:3]: [nX3:4]-[NX3:5],CNNCNN,"1,2",B,,
93,[c:0]:[nX2:1]:[nX3:2]:[cX3:3]:[cX3: 4],CCNNC,1,B,,
94,[C:0]=[NX2:1]-[C:2],C=NC,1,B,,
95,[PX4:0](-[NH1:1])=[OX1:2],CP(C)([N])=O,1,B,,
96,[CX4:0]-[CX4:1]-[NH2:2],*C(*)(*)C(*)(*)N,2,B,,
97,[c:0]=[NX2:1],*N=C,1,B,,
98,[PX4:0]-[NX3H0:1],*N(*)[P](*)(*)*,1,B,,
99,[C:0]-[NX3:1]-[C:2](=[SX1:3])-[NX 3:4]-[C:5],*N(C)C(=S)N(*)C,3,B,,
100,[OX2:0]-[C:1](=[OX1:2])-[NX3:3]-[ NX3:4],*OC(=O)N(*)N(*)*,4,B,,
101,[c:0]-[NX2:1]=[C:2],C=NC,1,B,,
102,"[c,S:0]-[C:1]-[NH2:2]",CC[N],2,B,,
102,"[c,S:0]-[C:1]-[NH2:2]",[N]CS,2,B,,
103,[NX3:0]-[OX2:1]-[H:2],*N(*)O,0,B,,
104,[c:0]:[n:1]:[n:2]:[c:3]:[nX3:4]-[c:5],CNCNNC,"1,2",B,,
105,[C:0]-[C:1]-[NH2:2],CC[N],2,B,,
106,[S:0]-[NH1:1]-[C:2],C[N]S,1,B,,
107,[c:0]-[NX3:1](-[H:2])-[c:4],C[N]C,1,B,,
108,[C:0]=[NX2:1]-[NX2:2]=[C:3]-[NH2 :4],C=NN=CN,2,B,,
109,[C:0]-[C:1]-[C:2]=[NX2H0:3]-[NX3 H0:4],*N(*)N=CCC,"3,4",B,,
110,[c:0]-[NX3H1:1]-[C:2]-[C:3]=[C:4]-[ c:5],*N(C)CC=CC,1,B,,
111,[NX3:0]-[C:1](=[S:2])-[NX3:3],*N(*)C(=S)N(*)*,2,B,,
112,[c:0]:[nH0:1]:[nH0:2]:[c:3]:[c:4]:[c:5 ],CCCNNC,"1,2",B,,
113,[c:0]:[c:1]-[nX3H1:2]-[C:3]-[C:4]=[ C:5],*N(C=C)CC=C,2,B,,
114,[C:0]=[C:1]-[NX3H0:2](-[C:3]-[C:4] )(-[C:5]-[C:7]),C=CN(CC)CC,2,B,,
115,[nX3:0]:[c:1]:[nX2:2]:[nX2:3]:[c:4],CNNCN,"2,3",B,,
116,[n:0]-[NX3H2:1],*N(*)N,1,B,,
117,[nX3H1:0]:[c:1]:[c:2]:[c:3](=[O:4]):[ c:5]:[c:6],CCC(=O)CCN,4,B,,
118,[C:0]-[NX3H1:1]-[NX3H2:3],CNN,"1,2",B,,
119,[OX2:0]-[C:1]-[NX3H2:2],*OCN,2,B,,
120,[c:0]:[nX2H0:1]:[nX2H0:2]:[nX3H0: 3]:[c:4],CNNNC,1,B,,
121,[SX4:0](=[O:1])(=[O:2])-[NX3H2:3],*S(N)(=O)=O,3,B,,
122,[NX3H0:0](-[C;!CSX1:1])(-[C;!CSX 1:2])-[C;!CSX1:3],CN(C)C,0,B,,
122,[NX3H0:0](-[C;!CSX1:1])(-[C;!CSX 1:2])-[C;!CSX1:3],SN(S)S,0,B,,
123,[c:0]:[c:1]:[c:2]:[c:3](-[OH:4]):[nX3 H1:5],CCCC(N)O,5,B,,
124,[C:0]-[C:1]-[NX3H0:2]-[OX2:3]-[C: 4],CC[N]OC,2,B,,
125,[c:0]:[c:1]-[NX3H1:2]-[C:3]-[C:4]-[ C:5]-[c:6],C=C[N]CCCC,2,B,,
126,[C:0](=[NX2H1:1])(-[C:2])-[C:3],CC(C)=[N],1,B,,
127,"[C,c:0]-[NX2H0:1]=[NX2H0:2]-[NX 3:3]",*NN=NC,3,B,,
128,[c:0]:[c:1]:[c:2]:[c:3]:[nX3:4]-[cX3:5 ],CCCCNC,4,B,,
129,[nX2H0:0]:[nX2H0:1]:[nX2H0:2]:[n X3H0:3]:[c:4]:[c:5],CCNNNN,0,B,,
130,[C:0]=[NX2:1]-[NH1:2]-[c:3],C=NNC,1,B,,
131,"[C:0]-[C:1](-[C,O:2])=[NH1:3]",CC(=[N])O,3,B,,
131,"[C:0]-[C:1](-[C,O:2])=[NH1:3]",CC(=[N])C,3,B,,
132,[C:0]-[NX3H0:1](-[C:2])-[NX3H1:3 ]-[C:4],*N(C)N(C)C,1,B,,
133,[nX2:0]:[nX2:1]:[cX3:2](-[C:3]):[nX 2:4]:[nX3:5]-[C:6],CNNC(C)NN,1,B,,
134,[c:0]-[C:1]=[NX2H0:2]-[NX2H0:3]= [C:4]-[SH:5],CC=NN=CS,3,B,,
135,[c:0]-[c:1]:[nX2H0:2]:[nX2H0:3]:[n X3:4](-[C:5]):[nX2:6],CCNNN(C)N,2,B,,
136,[c:0](=[SX1:1]):[nX3H1:2]:[c:3],CNC=S,"1,2",B,,
137,[C:0]=[NX2H0:1]-[NX3H0:2](-[C:3] )-[C:4],C=NN(C)C,"1,2",B,,
138,[c:0]:[nX2H0:1]:[sX2H0:2]:[c:3]:[c: 4],CCSNC,1,B,,
139,[C:0]=[NX2H0:1]-[NH2:2],C=NN,"1,2",B,,
140,[nX2H0:0]:[nX2H0:1]:[c:2]:[nH1:3]: [c:4]:[c:5]:[c:6],CCCNCNN,1,B,,
141,[NX2H0;r7:0]-[NX2H0;r7:1]=[C;r7: 2]-[NH1;r7:3]-[c;r7:4]:[c;r7:5]-[C;r7: 6],CCCNC=NN,1,B,,
142,[NX3:0](-[C:1])(-[C:2])-[C:3]=[S:4],CN(C)C=S,0,B,,
143,[c:0]:[nX2H0:1]:[nX2H0:2]:[nX2H0: 3]:[nX3H0:4],CNNNN,1,B,*,
144,[c;r5:0]:[c;r5:1]:[c;r5:2]:[c;r5:3]:[nH 1;r5:4],CNNNN[H],4,B,*,
